-1.8218,-1.5962,-1.3647,-1.43,-1.3881,-1.4448,-1.4997,-1.5454
-1.8399,-1.5674,-1.3642,-1.4496,-1.3824,-1.4668,-1.4985,-1.5309
-1.8296,-1.5628,-1.3654,-1.4598,-1.3809,-1.5349,-1.5008,-1.5178
-1.8029,-1.5445,-1.3382,-1.4362,-1.3778,-1.5771,-1.5302,-1.4939
-1.7917,-1.5306,-1.3363,-1.4362,-1.4272,-1.5321,-1.5702,-1.471
-1.8024,-1.5268,-1.3409,-1.4143,-1.4555,-1.5113,-1.5852,-1.4861
-1.8349,-1.5428,-1.3649,-1.4079,-1.4684,-1.4794,-1.5714,-1.5335
-1.8101,-1.5385,-1.4155,-1.4005,-1.4648,-1.4691,-1.5879,-1.5476
-1.8039,-1.5697,-1.4493,-1.4091,-1.4915,-1.4536,-1.5976,-1.5972
-1.8041,-1.549,-1.4014,-1.4222,-1.4553,-1.4751,-1.5602,-1.6403
-1.7967,-1.5538,-1.3771,-1.4551,-1.4739,-1.503,-1.5848,-1.5883
-1.79,-1.5614,-1.3535,-1.4279,-1.4451,-1.5054,-1.5771,-1.5633
-1.7948,-1.5936,-1.3499,-1.4269,-1.4288,-1.478,-1.5481,-1.5435
-1.7874,-1.5554,-1.3442,-1.4496,-1.4076,-1.4865,-1.5275,-1.5209
-1.77,-1.5371,-1.375,-1.4551,-1.4055,-1.4887,-1.5218,-1.4951
-1.7753,-1.524,-1.447,-1.4272,-1.394,-1.5292,-1.5156,-1.4951
-1.7703,-1.5271,-1.4246,-1.4298,-1.3952,-1.5121,-1.5044,-1.5116
-1.7815,-1.5218,-1.3938,-1.4567,-1.3974,-1.4918,-1.5147,-1.5237
-1.8332,-1.5614,-1.3897,-1.4398,-1.404,-1.4577,-1.5166,-1.5659
-1.8535,-1.605,-1.3776,-1.4126,-1.394,-1.4472,-1.4958,-1.5521
-1.8198,-1.5953,-1.3633,-1.4274,-1.3826,-1.4403,-1.4935,-1.5426
-1.837,-1.5645,-1.3618,-1.4489,-1.3776,-1.4653,-1.4925,-1.5256
-1.8241,-1.5616,-1.3642,-1.4582,-1.38,-1.533,-1.5016,-1.513
-1.8029,-1.5407,-1.3359,-1.4329,-1.3747,-1.5733,-1.5283,-1.4904
-1.7903,-1.5271,-1.334,-1.4305,-1.4224,-1.5299,-1.5664,-1.4679
-1.7998,-1.528,-1.3406,-1.4093,-1.4505,-1.5097,-1.5814,-1.4811
-1.833,-1.5383,-1.3602,-1.4055,-1.4665,-1.478,-1.5695,-1.5314
-1.8075,-1.5342,-1.4102,-1.3957,-1.4622,-1.467,-1.5862,-1.5452
-1.8027,-1.5686,-1.4462,-1.4074,-1.4868,-1.4517,-1.5929,-1.5936
-1.801,-1.5495,-1.4007,-1.4215,-1.4527,-1.4715,-1.56,-1.6329
-1.7955,-1.5516,-1.3731,-1.451,-1.472,-1.5008,-1.5824,-1.5848
-1.79,-1.559,-1.3528,-1.4236,-1.441,-1.5025,-1.5714,-1.5607
-1.7908,-1.5907,-1.3454,-1.4248,-1.4246,-1.4763,-1.5433,-1.5416
-1.7836,-1.5547,-1.3416,-1.4527,-1.4052,-1.4813,-1.5259,-1.5171
-1.7672,-1.5337,-1.3738,-1.4501,-1.4009,-1.4858,-1.518,-1.4915
-1.7712,-1.523,-1.4443,-1.4234,-1.3947,-1.5259,-1.5121,-1.4908
-1.77,-1.5242,-1.4222,-1.4286,-1.3907,-1.509,-1.5011,-1.5085
-1.7815,-1.5194,-1.3902,-1.4551,-1.394,-1.4901,-1.5099,-1.5199
-1.8313,-1.5557,-1.3869,-1.4336,-1.4014,-1.4544,-1.513,-1.5628
-1.8516,-1.6029,-1.3757,-1.4091,-1.3919,-1.4472,-1.4932,-1.5497
31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
13.58,16.787,20.362,24.775,28.965,30.192,31.25,31.25
3.0937,4.8079,6.8471,9.1517,12.227,13.385,15.433,15.248
0.26131,0.99301,2.0242,3.0882,4.9269,5.7375,7.2882,7.304
-0.52738,-0.22483,0.27585,0.72813,1.7076,2.2774,3.2163,3.3476
-0.81301,-0.64921,-0.38815,-0.19193,0.28133,0.65327,1.179,1.3194
-0.96345,-0.83184,-0.67162,-0.57435,-0.36263,-0.10228,0.16379,0.24033
