  -1048.0000	      0.0263	      0.0263	      0.0285	      0.0302	      0.0306	      0.0330	
  -1050.0000	      0.0255	      0.0278	      0.0296	      0.0302	      0.0325	      0.0324	
  -1052.0000	      0.0262	      0.0284	      0.0289	      0.0308	      0.0316	      0.0333	
  -1054.0000	      0.0258	      0.0281	      0.0289	      0.0300	      0.0321	      0.0325	
  -1056.0000	      0.0250	      0.0280	      0.0286	      0.0306	      0.0320	      0.0329	
  -1058.0000	      0.0265	      0.0273	      0.0289	      0.0310	      0.0313	      0.0323	
  -1060.0000	      0.0258	      0.0272	      0.0286	      0.0301	      0.0320	      0.0334	
  -1062.0000	      0.0266	      0.0280	      0.0293	      0.0303	      0.0315	      0.0327	
  -1064.0000	      0.0254	      0.0266	      0.0277	      0.0291	      0.0303	      0.0325	
  -1066.0000	      0.0259	      0.0257	      0.0279	      0.0291	      0.0305	      0.0316	
  -1068.0000	      0.0254	      0.0257	      0.0274	      0.0278	      0.0293	      0.0313	
  -1070.0000	      0.0256	      0.0262	      0.0254	      0.0276	      0.0292	      0.0301	
  -1072.0000	      0.0239	      0.0254	      0.0271	      0.0277	      0.0283	      0.0296	
  -1074.0000	      0.0232	      0.0252	      0.0266	      0.0265	      0.0282	      0.0292	
  -1076.0000	      0.0239	      0.0249	      0.0255	      0.0260	      0.0280	      0.0302	
  -1078.0000	      0.0228	      0.0251	      0.0240	      0.0264	      0.0282	      0.0289	
  -1080.0000	      0.0223	      0.0240	      0.0243	      0.0257	      0.0269	      0.0280	
  -1082.0000	      0.0223	      0.0220	      0.0246	      0.0247	      0.0261	      0.0274	
  -1084.0000	      0.0218	      0.0234	      0.0241	      0.0252	      0.0259	      0.0265	
  -1086.0000	      0.0213	      0.0229	      0.0229	      0.0241	      0.0247	      0.0270	
  -1088.0000	      0.0213	      0.0215	      0.0234	      0.0242	      0.0245	      0.0264	
  -1090.0000	      0.0206	      0.0209	      0.0221	      0.0249	      0.0250	      0.0255	
  -1092.0000	      0.0192	      0.0213	      0.0218	      0.0231	      0.0238	      0.0250	
  -1094.0000	      0.0197	      0.0202	      0.0207	      0.0231	      0.0230	      0.0250	
  -1096.0000	      0.0188	      0.0198	      0.0218	      0.0216	      0.0229	      0.0245	
  -1098.0000	      0.0183	      0.0205	      0.0208	      0.0221	      0.0222	      0.0242	
  -1100.0000	      0.0186	      0.0196	      0.0194	      0.0210	      0.0218	      0.0226	
